"School Year",State,"NCES LEA ID",LEA,School,"NCES SCH ID","Data Group","Data Description",Value,Numerator,Denominator,Population,Subgroup,Characteristics,Age/Grade,"Academic Subject",Outcome,"Program Type"
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",38.9,,163386,"All Students","All Students",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",16.8,,20702,"All Students","Children with disabilities",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",25.5,,83256,"All Students","Economically Disadvantaged",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",38.6,,80335,"All Students",,Female,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",22,,713,"All Students","Foster care students",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",24.4,,3285,"All Students",Homeless,,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",8.1,,4787,"All Students","English Learner",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",39.1,,83043,"All Students",,Male,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",68,,2365,"All Students",Asian,,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",44,,1654,"All Students","American Indian or Alaska Native",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",66,,2535,"All Students","Asian / Pacific Islander",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",19.9,,52965,"All Students","Black or African American",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",26.6,,13660,"All Students",Hispanic/Latino,,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",16,,275,"All Students","Migratory students",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",47,,2955,"All Students","Military connected",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",36,,170,"All Students","Native Hawaiian/Other Pacific Islander or Pacific Islander",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",44.9,,3663,"All Students","Two or more races",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",50.9,,88849,"All Students","White or Caucasian (not Hispanic)",,"All Grades",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",39.2,,58401,"All Students","All Students",,"Grade 5",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",18.3,,8701,"All Students","Children with disabilities",,"Grade 5",Science,,
2018-2019,ALABAMA,,,,,585,"Performance on Statewide Science Assessment",27.4,,32450,"All Students","Economically Disadvantaged",,"Grade 5",Science,,
