"School Year",State,"NCES LEA ID",LEA,School,"NCES SCH ID","Data Group","Data Description",Value,Numerator,Denominator,Population,Subgroup,Characteristics,Age/Grade,"Academic Subject",Outcome,"Program Type"
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.6%,,3776449,"All Students","All Students",,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.9%,,30280,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93.7%,,228987,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",N/A,,180955,"All Students",Asian,,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",N/A,,14415,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.0%,,555936,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.8%,,1052907,"All Students",Hispanic/Latino,,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",N/A,,129385,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.8%,,1778399,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71.4%,,493950,"All Students","Children with disabilities",,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.3%,,1884827,"All Students","Economically Disadvantaged",,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72.1%,,311232,"All Students","English Learner",,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",N/A,,28473,"All Students","Foster care students",,,,,
2021-2022,"UNITED STATES",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68.2%,,149891,"All Students",Homeless,,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.2%,,53869,"All Students","All Students in SEA",,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88%,,540,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94%,,972,"All Students","Asian/Pacific Islander",,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95%,,909,"All Students",Asian,,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,63,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.2%,,17322,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90%,,1090,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.4%,,29360,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.5%,,4934,"All Students","Children with disabilities",,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.6%,,26188,"All Students","Economically Disadvantaged",,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68%,,1349,"All Students","English Learner",,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",64%,,206,"All Students","Foster care students",,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,703,"All Students",Homeless,,,,,
2021-2022,ALABAMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.8%,,4585,"All Students",Hispanic/Latino,,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.8%,,9406,"All Students","All Students in SEA",,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",64%,,1994,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84%,,884,"All Students","Asian/Pacific Islander",,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,595,"All Students",Asian,,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78%,,289,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74%,,273,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75%,,1059,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.6%,,4541,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",61%,,1261,"All Students","Children with disabilities",,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70.2%,,3608,"All Students","Economically Disadvantaged",,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65%,,987,"All Students","English Learner",,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",53%,,102,"All Students","Foster care students",,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",59%,,273,"All Students",Homeless,,,,,
2021-2022,ALASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77%,,655,"All Students",Hispanic/Latino,,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.3%,,90404,"All Students","All Students in SEA",,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",64.9%,,4203,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.3%,,3221,"All Students","Asian/Pacific Islander",,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91%,,2843,"All Students",Asian,,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77%,,378,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71.9%,,5081,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78%,,2663,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.3%,,33690,"All Students","White or Caucasian (not Hispanic)",,,,,
