week,team,rank
1,Kansas,1
1,Alabama,2
1,UConn,3
1,Houston,4
1,Iowa State,5
1,Gonzaga,6
1,Duke,7
1,Baylor,8
1,North Carolina,9
1,Arizona,10
1,Auburn,11
1,Tennessee,12
1,Texas A&M,13
1,Purdue,14
1,Creighton,15
1,Arkansas,16
1,Indiana,17
1,Marquette,18
1,Texas,19
1,Cincinnati,20
1,Florida,21
1,UCLA,22
1,Kentucky,23
1,Ole Miss,24
1,Rutgers,25
2,Kansas,1
2,Alabama,2
2,UConn,3
2,Gonzaga,4
2,Auburn,5
2,Duke,6
2,Iowa State,7
2,Houston,8
2,Arizona,9
2,North Carolina,10
2,Tennessee,11
2,Baylor,12
2,Purdue,13
2,Creighton,14
2,Marquette,15
2,Indiana,16
2,Cincinnati,17
2,Arkansas,18
2,Kentucky,19
2,Florida,20
2,Ohio State,21
2,St. John's,22
2,Texas A&M,23
2,Rutgers,24
2,Ole Miss,25
3,Kansas,1
3,UConn,2
3,Gonzaga,3
3,Auburn,4
3,Iowa State,5
3,Purdue,6
3,Houston,7
3,Alabama,8
3,Kentucky,9
3,North Carolina,10
3,Tennessee,11
3,Duke,12
3,Baylor,13
3,Creighton,14
3,Marquette,15
3,Indiana,16
3,Arizona,17
3,Cincinnati,18
3,Wisconsin,19
3,Arkansas,20
3,Florida,21
3,St. John's,22
3,Texas A&M,23
3,Rutgers,24
3,Illinois,25
4,Kansas,1
4,Uconn,2
4,Gonzaga,3
4,Auburn,4
4,Iowa State,5
4,Houston,6
4,Tennessee,7
4,Kentucky,8
4,Alabama,9
4,Marquette,10
4,Duke,11
4,North Carolina,12
4,Purdue,13
4,Indiana,14
4,Wisconsin,15
4,Cincinnati,16
4,Baylor,17
4,Florida,18
4,Arkansas,19
4,Texas A&M,20
4,Creighton,21
4,Xavier,22
4,Ole Miss,23
4,Arizona,24
4,Mississippi State,25
5,Kansas,1
5,Auburn,2
5,Tennessee,3
5,Kentucky,4
5,Marquette,5
5,Iowa State,6
5,Gonzaga,7
5,Purdue,8
5,Duke,9
5,Alabama,10
5,Wisconsin,11
5,Oregon,12
5,Florida,13
5,Cincinnati,14
5,Baylor,15
5,Memphis,16
5,Houston,17
5,Pittsburgh,18
5,Illinois,19
5,North Carolina,20
5,Oklahoma,21
5,Texas A&M,22
5,Ole Miss,23
5,San Diego State,24
5,Uconn,25
6,Tennessee,1
6,Auburn,2
6,Iowa State,3
6,Duke,4
6,Kentucky,5
6,Marquette,6
6,Alabama,7
6,Gonzaga,8
6,Florida,9
6,Kansas,10
6,Purdue,11
6,Oregon,12
6,Oklahoma,13
6,Michigan,14
6,Houston,15
6,Clemson,16
6,Texas A&M,17
6,Uconn,18
6,Ole Miss,19
6,Wisconsin,20
6,Michigan State,21
6,Cincinnati,22
6,San Diego State,23
6,UCLA,24
6,Mississippi State,25
7,Tennessee,1
7,Auburn,2
7,Iowa State,3
7,Kentucky,4
7,Duke,5
7,Alabama,6
7,Florida,7
7,Kansas,8
7,Marquette,9
7,Oregon,10
7,Uconn,11
7,Texas A&M,12
7,Gonzaga,13
7,Oklahoma,14
7,Houston,15
7,Purdue,16
7,Ole Miss,17
7,UCLA,18
7,Cincinnati,19
7,Michigan State,20
7,Memphis,21
7,Dayton,22
7,San Diego State,23
7,Michigan,24
7,Clemson,25
8,Tennessee,1
8,Auburn,2
8,Iowa State,3
8,Duke,4
8,Alabama,5
8,Florida,6
8,Kansas,7
8,Marquette,8
8,Oregon,9
8,Kentucky,10
