state,energy_source,generation
Connecticut,all_fuels_(utility-scale),45159
Connecticut,coal,0
Connecticut,petroleum_liquids,144
Connecticut,petroleum_coke,0
Connecticut,natural_gas,26139
Connecticut,other_gases,NA
Connecticut,nuclear,16870
Connecticut,conventional_hydroelectric,468
Connecticut,other_renewables,NA
Connecticut,wind,10
Connecticut,geothermal,NA
Connecticut,biomass,597
Connecticut,wood_and_wood-derived_fuels,243
Connecticut,other_biomass,354
Connecticut,hydro-electric_pumped_storage,5
Connecticut,other,424
Connecticut,all_solar,1962
Maine,all_fuels_(utility-scale),13758
Maine,coal,29
Maine,petroleum_liquids,61
Maine,petroleum_coke,NA
Maine,natural_gas,4182
Maine,other_gases,NA
Maine,nuclear,NA
Maine,conventional_hydroelectric,3781
Maine,other_renewables,NA
Maine,wind,2832
Maine,geothermal,NA
Maine,biomass,1510
Maine,wood_and_wood-derived_fuels,1437
Maine,other_biomass,73
Maine,hydro-electric_pumped_storage,NA
Maine,other,286
Maine,all_solar,2092
Massachusetts,all_fuels_(utility-scale),20591
Massachusetts,coal,0
Massachusetts,petroleum_liquids,190
Massachusetts,petroleum_coke,NA
Massachusetts,natural_gas,15372
Massachusetts,other_gases,NA
Massachusetts,nuclear,NA
Massachusetts,conventional_hydroelectric,1257
Massachusetts,other_renewables,NA
Massachusetts,wind,178
Massachusetts,geothermal,NA
Massachusetts,biomass,905
Massachusetts,wood_and_wood-derived_fuels,35
Massachusetts,other_biomass,869
Massachusetts,hydro-electric_pumped_storage,-483
Massachusetts,other,927
Massachusetts,all_solar,6310
New Hampshire,all_fuels_(utility-scale),17298
New Hampshire,coal,224
New Hampshire,petroleum_liquids,57
New Hampshire,petroleum_coke,NA
New Hampshire,natural_gas,4421
New Hampshire,other_gases,NA
New Hampshire,nuclear,9677
New Hampshire,conventional_hydroelectric,1590
New Hampshire,other_renewables,NA
New Hampshire,wind,445
New Hampshire,geothermal,NA
New Hampshire,biomass,829
New Hampshire,wood_and_wood-derived_fuels,687
New Hampshire,other_biomass,142
New Hampshire,hydro-electric_pumped_storage,NA
New Hampshire,other,51
New Hampshire,all_solar,365
Rhode Island,all_fuels_(utility-scale),9461
Rhode Island,coal,0
Rhode Island,petroleum_liquids,NA
Rhode Island,petroleum_coke,NA
Rhode Island,natural_gas,8431
Rhode Island,other_gases,NA
Rhode Island,nuclear,NA
Rhode Island,conventional_hydroelectric,NA
Rhode Island,other_renewables,NA
Rhode Island,wind,179
Rhode Island,geothermal,NA
Rhode Island,biomass,208
Rhode Island,wood_and_wood-derived_fuels,NA
Rhode Island,other_biomass,208
Rhode Island,hydro-electric_pumped_storage,NA
Rhode Island,other,0
Rhode Island,all_solar,1333
Vermont,all_fuels_(utility-scale),2536
Vermont,coal,NA
Vermont,petroleum_liquids,NA
Vermont,petroleum_coke,NA
Vermont,natural_gas,1
Vermont,other_gases,NA
Vermont,nuclear,NA
Vermont,conventional_hydroelectric,1529
Vermont,other_renewables,NA
Vermont,wind,355
Vermont,geothermal,NA
Vermont,biomass,423
Vermont,wood_and_wood-derived_fuels,372
Vermont,other_biomass,51
Vermont,hydro-electric_pumped_storage,NA
Vermont,other,2
Vermont,all_solar,468
New Jersey,all_fuels_(utility-scale),61232
New Jersey,coal,0
New Jersey,petroleum_liquids,33
New Jersey,petroleum_coke,0
New Jersey,natural_gas,30514
New Jersey,other_gases,164
New Jersey,nuclear,27677
New Jersey,conventional_hydroelectric,4
New Jersey,other_renewables,NA
New Jersey,wind,19
New Jersey,geothermal,NA
New Jersey,biomass,654
New Jersey,wood_and_wood-derived_fuels,NA
New Jersey,other_biomass,654
New Jersey,hydro-electric_pumped_storage,-232
New Jersey,other,613
New Jersey,all_solar,5189
New York,all_fuels_(utility-scale),131671
New York,coal,0
New York,petroleum_liquids,433
New York,petroleum_coke,NA
New York,natural_gas,64153
New York,other_gases,0
New York,nuclear,27073
New York,conventional_hydroelectric,28465
New York,other_renewables,NA
New York,wind,5991
New York,geothermal,NA
New York,biomass,1573
New York,wood_and_wood-derived_fuels,163
New York,other_biomass,1410
New York,hydro-electric_pumped_storage,-410
New York,other,1013
New York,all_solar,7905
Pennsylvania,all_fuels_(utility-scale),243613
Pennsylvania,coal,13201
Pennsylvania,petroleum_liquids,88
Pennsylvania,petroleum_coke,0
Pennsylvania,natural_gas,145473
Pennsylvania,other_gases,371
Pennsylvania,nuclear,75404
Pennsylvania,conventional_hydroelectric,2835
Pennsylvania,other_renewables,NA
Pennsylvania,wind,3576
Pennsylvania,geothermal,NA
Pennsylvania,biomass,1506
