"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=vvvvvvvvvvvvo&sec=g&freq=A&start=2023&end=2024&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat May 17 2025 17:01:09 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2023","2024"
"Net generation for all sectors","thousand megawatthours",,,
"United States",,"ELEC.GEN..A",,
"United States : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-US-99.A",4183271,4304039
"United States : coal","thousand megawatthours","ELEC.GEN.COW-US-99.A",675115,652760
"United States : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-US-99.A",11397,11887
"United States : petroleum coke","thousand megawatthours","ELEC.GEN.PC-US-99.A",4836,3380
"United States : natural gas","thousand megawatthours","ELEC.GEN.NG-US-99.A",1806063,1864874
"United States : other gases","thousand megawatthours","ELEC.GEN.OOG-US-99.A",11778,9807
"United States : nuclear","thousand megawatthours","ELEC.GEN.NUC-US-99.A",774873,781979
"United States : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-US-99.A",245002,242226
"United States : other renewables",,"ELEC.GEN.AOR-US-99.A",,
"United States : wind","thousand megawatthours","ELEC.GEN.WND-US-99.A",421141,453454
"United States : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-US-99.A",165530,218538
"United States : geothermal","thousand megawatthours","ELEC.GEN.GEO-US-99.A",16367,15671
"United States : biomass","thousand megawatthours","ELEC.GEN.BIO-US-99.A",47200,46740
"United States : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-US-99.A",31615,31875
"United States : other biomass","thousand megawatthours","ELEC.GEN.WAS-US-99.A",15585,14866
"United States : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-US-99.A",-5990,-5900
"United States : other","thousand megawatthours","ELEC.GEN.OTH-US-99.A",9957,8623
"United States : all solar","thousand megawatthours","ELEC.GEN.TSN-US-99.A",238937,303167
"United States : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-US-99.A",73406,84630
"United States : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-US-99.A",165530,218538
"New England",,"ELEC.GEN..A",,
"New England : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NEW-99.A",102611,108803
"New England : coal","thousand megawatthours","ELEC.GEN.COW-NEW-99.A",203,254
"New England : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NEW-99.A",390,468
"New England : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NEW-99.A",0,0
"New England : natural gas","thousand megawatthours","ELEC.GEN.NG-NEW-99.A",57482,58546
"New England : other gases","thousand megawatthours","ELEC.GEN.OOG-NEW-99.A","--","--"
"New England : nuclear","thousand megawatthours","ELEC.GEN.NUC-NEW-99.A",23204,26547
"New England : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NEW-99.A",8601,8632
"New England : other renewables",,"ELEC.GEN.AOR-NEW-99.A",,
"New England : wind","thousand megawatthours","ELEC.GEN.WND-NEW-99.A",3450,3999
"New England : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NEW-99.A",3577,4673
"New England : geothermal","thousand megawatthours","ELEC.GEN.GEO-NEW-99.A","--","--"
"New England : biomass","thousand megawatthours","ELEC.GEN.BIO-NEW-99.A",4392,4472
"New England : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NEW-99.A",2644,2775
"New England : other biomass","thousand megawatthours","ELEC.GEN.WAS-NEW-99.A",1748,1697
"New England : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NEW-99.A",-375,-479
"New England : other","thousand megawatthours","ELEC.GEN.OTH-NEW-99.A",1686,1691
"New England : all solar","thousand megawatthours","ELEC.GEN.TSN-NEW-99.A",10294,12530
"New England : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NEW-99.A",6717,7857
"New England : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NEW-99.A",3577,4673
"Connecticut",,"ELEC.GEN..A",,
"Connecticut : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-CT-99.A",40666,45159
"Connecticut : coal","thousand megawatthours","ELEC.GEN.COW-CT-99.A",0,0
"Connecticut : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CT-99.A",124,144
"Connecticut : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CT-99.A",0,0
"Connecticut : natural gas","thousand megawatthours","ELEC.GEN.NG-CT-99.A",24952,26139
"Connecticut : other gases","thousand megawatthours","ELEC.GEN.OOG-CT-99.A","--","--"
"Connecticut : nuclear","thousand megawatthours","ELEC.GEN.NUC-CT-99.A",13669,16870
"Connecticut : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CT-99.A",465,468
"Connecticut : other renewables",,"ELEC.GEN.AOR-CT-99.A",,
"Connecticut : wind","thousand megawatthours","ELEC.GEN.WND-CT-99.A",10,10
"Connecticut : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CT-99.A",421,501
"Connecticut : geothermal","thousand megawatthours","ELEC.GEN.GEO-CT-99.A","--","--"
"Connecticut : biomass","thousand megawatthours","ELEC.GEN.BIO-CT-99.A",591,597
"Connecticut : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-CT-99.A",233,243
"Connecticut : other biomass","thousand megawatthours","ELEC.GEN.WAS-CT-99.A",358,354
"Connecticut : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CT-99.A",5,5
"Connecticut : other","thousand megawatthours","ELEC.GEN.OTH-CT-99.A",429,424
